# TEST RESULT FILE FOR METHOD Response::responseNotAuthorized()
#
# Parameter             Array Optional Default Value
#  message               no    yes      "Not a valid session."
#
# Return Value
#  Integer: HTTP Code: 403

Total Lines Read: 27
* Ignored Lines: 22
* Error Lines:   0
* Failed Tests:  2
* Success Tests: 3

STATUS    TEST/DESCRIPTION
======    ================
Ignored   Comment
Ignored   Comment
Ignored   Comment
Ignored   Comment
Ignored   Comment
Ignored   Comment
Ignored   Comment
Ignored   Comment
Ignored   Comment
Ignored   Comment
Ignored   Comment
Ignored   Comment
Ignored   Comment
Ignored   Comment
Ignored   Comment
Ignored   Comment
Ignored   Comment
Ignored   Comment
Ignored   Comment
Ignored   Comment
Ignored   Comment
Ignored   Comment
Tested    false => ~=404
Tested    true => ~=403
Tested    true => null=403
Tested    false => "prueba con signo igual (=) y con el ampersand (&)"=404
Tested    true => "prueba con signo igual (=) y con el ampersand (&)"=403
